1764682238.417145 server started (68603): version 3.6, socket /private/tmp/tmux-501/default, protocol 8
1764682238.417196 on Darwin 24.5.0 Darwin Kernel Version 24.5.0: Tue Apr 22 19:54:43 PDT 2025; root:xnu-11417.121.6~2/RELEASE_ARM64_T8132
1764682238.417207 using libevent 2.1.12-stable select
1764682238.417220 using utf8proc 2.11.2
1764682238.417228 using ncurses 6.5 20240427
1764682238.417298 input_key_build: 0x10e003 (PasteStart) is \033[200~
1764682238.417306 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1764682238.417326 input_key_build: 0x10e25b (F1) is \033OP
1764682238.417334 input_key_build: 0x10e25c (F2) is \033OQ
1764682238.417340 input_key_build: 0x10e25d (F3) is \033OR
1764682238.417346 input_key_build: 0x10e25e (F4) is \033OS
1764682238.417352 input_key_build: 0x10e25f (F5) is \033[15~
1764682238.417358 input_key_build: 0x10e260 (F6) is \033[17~
1764682238.417363 input_key_build: 0x10e261 (F7) is \033[18~
1764682238.417369 input_key_build: 0x10e262 (F8) is \033[19~
1764682238.417375 input_key_build: 0x10e263 (F9) is \033[20~
1764682238.417381 input_key_build: 0x10e264 (F10) is \033[21~
1764682238.417389 input_key_build: 0x10e265 (F11) is \033[23~
1764682238.417395 input_key_build: 0x10e266 (F12) is \033[24~
1764682238.417401 input_key_build: 0x10e267 (IC) is \033[2~
1764682238.417406 input_key_build: 0x10e268 (DC) is \033[3~
1764682238.417412 input_key_build: 0x10e269 (Home) is \033[1~
1764682238.417418 input_key_build: 0x10e26a (End) is \033[4~
1764682238.417424 input_key_build: 0x10e26b (NPage) is \033[6~
1764682238.417430 input_key_build: 0x10e26c (PPage) is \033[5~
1764682238.417436 input_key_build: 0x10e26d (BTab) is \033[Z
1764682238.417442 input_key_build: 0x10e26e (Up) is \033[A
1764682238.417447 input_key_build: 0x10e26f (Down) is \033[B
1764682238.417453 input_key_build: 0x10e270 (Left) is \033[D
1764682238.417459 input_key_build: 0x10e271 (Right) is \033[C
1764682238.417465 input_key_build: 0x10e272 (KP/) is /
1764682238.417472 input_key_build: 0x10e273 (KP*) is *
1764682238.417479 input_key_build: 0x10e274 (KP-) is -
1764682238.417485 input_key_build: 0x10e275 (KP7) is 7
1764682238.417490 input_key_build: 0x10e276 (KP8) is 8
1764682238.417497 input_key_build: 0x10e277 (KP9) is 9
1764682238.417504 input_key_build: 0x10e278 (KP+) is +
1764682238.417511 input_key_build: 0x10e279 (KP4) is 4
1764682238.417518 input_key_build: 0x10e27a (KP5) is 5
1764682238.417524 input_key_build: 0x10e27b (KP6) is 6
1764682238.417530 input_key_build: 0x10e27c (KP1) is 1
1764682238.417535 input_key_build: 0x10e27d (KP2) is 2
1764682238.417541 input_key_build: 0x10e27e (KP3) is 3
1764682238.417547 input_key_build: 0x10e27f (KPEnter) is \n
1764682238.417553 input_key_build: 0x10e280 (KP0) is 0
1764682238.417558 input_key_build: 0x10e281 (KP.) is .
1764682238.417566 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1764682238.417573 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1764682238.417579 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1764682238.417586 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1764682238.417591 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1764682238.417597 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1764682238.417603 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1764682238.417609 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1764682238.417615 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1764682238.417622 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
